plant_id,pop,xy1_error_m,abs_val_xy1_error_m,xy1_percent_error,xy2_error_m,abs_val_xy2_error_m,xy2_percent_error,error_within_aggregate
1,JWDC,0.360260652,0.360260652,21.18203438,NA,NA,NA,N
2,JWDC,0.075438595,0.075438595,8.250065044,NA,NA,NA,N
3,JWDC,0.002720512,0.002720512,17.8511302,NA,NA,NA,Y
4,JWDC,-0.00127,0.00127,2.777777778,NA,NA,NA,Y
5,JWDC,0.684358347,0.684358347,1320.747157,NA,NA,NA,N
6,JWDC,0.005814911,0.005814911,2.578080186,NA,NA,NA,N
7,JWDC,-0.050969088,0.050969088,10.58363399,NA,NA,NA,N
8,JWDC,0.012285905,0.012285905,1.080645772,NA,NA,NA,N
9,JWDC,-0.010334102,0.010334102,37.67170362,NA,NA,NA,Y
10,JWDC,-0.090114985,0.090114985,0.667387895,NA,NA,NA,N
11,JWDC,0.010882049,0.010882049,17.8511302,NA,NA,NA,Y
12,JWDC,0.223574001,0.223574001,6.620130898,NA,NA,NA,N
13,JWDC,0.006324193,0.006324193,0.235780271,-0.186901081,0.186901081,6.968096844,N
14,JWDC,-0.010184968,0.010184968,41.76906309,-0.010184968,0.010184968,41.76906309,Y
15,JWDC,-0.004255946,0.004255946,12.69370779,-0.004255946,0.004255946,12.69370779,Y
16,JWDC,-0.006840375,0.006840375,37.40362369,-0.006840375,0.006840375,37.40362369,Y
17,JWDC,0.037148711,0.037148711,1.875061102,-0.010930717,0.010930717,0.551722061,N
18,JWDC,0.001905,0.001905,4.166666667,0.001905,0.001905,4.166666667,Y
19,JWDC,-0.06085809,0.06085809,7.395024107,-0.294505341,0.294505341,35.78610641,N
20,JWDC,-0.033161516,0.033161516,9.460663114,0.042275605,0.042275605,12.06082523,N
21,JWDC,-0.177258039,0.177258039,2.823083722,NA,NA,NA,N
22,JWDC,-0.014703074,0.014703074,26.79912824,NA,NA,NA,N
23,JWDC,0.048084163,0.048084163,0.985977748,NA,NA,NA,N
24,JWDC,-0.080668798,0.080668798,10.58645648,NA,NA,NA,N
25,JWDC,0.136020466,0.136020466,2.860649819,NA,NA,NA,N
26,JWDC,-0.00020392,0.00020392,0.836287684,NA,NA,NA,Y
27,JWDC,-0.008247768,0.008247768,45.09934618,NA,NA,NA,Y
28,JWDC,-0.00357511,0.00357511,10.66305746,NA,NA,NA,Y
29,JWDC,0.017866661,0.017866661,0.498873642,NA,NA,NA,N
30,JWDC,0.105616152,0.105616152,26.25073371,NA,NA,NA,N
31,JWDC,0.032168957,0.032168957,0.390893328,NA,NA,NA,N
32,JWDC,-0.024717438,0.024717438,0.233363902,NA,NA,NA,N
33,JWDC,-0.087390581,0.087390581,8.959828264,NA,NA,NA,N
34,JWDC,0.009931153,0.009931153,32.58252147,NA,NA,NA,Y
35,JWDC,-0.001207946,0.001207946,3.96307857,NA,NA,NA,Y
36,JWDC,-0.012572027,0.012572027,27.49787147,NA,NA,NA,Y
37,JWDC,0.004845721,0.004845721,22.71147695,NA,NA,NA,Y
38,JWDC,0.027809663,0.027809663,0.252041579,NA,NA,NA,N
39,JWDC,-0.008194613,0.008194613,33.60651675,NA,NA,NA,Y
40,JWDC,0.187534014,0.187534014,18.09614929,NA,NA,NA,N
41,JWDC,0.017047624,0.017047624,1.598014979,NA,NA,NA,N
42,JWDC,-0.00508,0.00508,16.66666667,NA,NA,NA,Y
43,JWDC,-0.001524,0.001524,3.846153846,NA,NA,NA,Y
44,JWDC,0.042717269,0.042717269,2.919760829,NA,NA,NA,N
45,JWDC,0.00127,0.00127,4.166666667,NA,NA,NA,Y
46,JWDC,0.001898774,0.001898774,6.2295732,NA,NA,NA,Y
47,JWDC,0.098239697,0.098239697,5.605369019,NA,NA,NA,N
48,JWDC,0.004607251,0.004607251,25.19275262,NA,NA,NA,Y
