plant_id,sex,fp1_x_ft,fp1_y_ft,x_meters,y_meters,soil_sampled
201,H,-4.333333333,-2.416666667,-1.3208,-0.7366,No
202,H,-4.25,-2.416666667,-1.2954,-0.7366,No
203,H,-4.375,-2.416666667,-1.3335,-0.7366,No
204,H,-4.541666667,-2.541666667,-1.3843,-0.7747,No
205,H,-4.583333333,-2.541666667,-1.397,-0.7747,No
206,H,-4.416666667,-2.291666667,-1.3462,-0.6985,No
207,H,-4.416666667,-2.208333333,-1.3462,-0.6731,No
208,H,-4.541666667,-2.333333333,-1.3843,-0.7112,No
209,H,-4.583333333,-2.291666667,-1.397,-0.6985,No
210,F,-4.416666667,-2.166666667,-1.3462,-0.6604,No
211,F,-0.291666667,-0.354166667,-0.0889,-0.10795,No
212,F,-3.625,0.583333333,-1.1049,0.1778,No
213,F,-6.25,-2.5,-1.905,-0.762,No
214,F,-6.375,-2.583333333,-1.9431,-0.7874,No
215,F,-6.5,-2.541666667,-1.9812,-0.7747,No
216,F,-6.583333333,-2.416666667,-2.0066,-0.7366,No
217,F,-6.5,-2.385416667,-1.9812,-0.727075,No
218,F,-6.375,-2.333333333,-1.9431,-0.7112,No
219,H,-5.5,-0.625,-1.6764,-0.1905,No
220,H,-5.416666667,-0.625,-1.651,-0.1905,No
221,H,-7.916666667,-2.625,-2.413,-0.8001,No
222,H,-8.041666667,-2.583333333,-2.4511,-0.7874,No
223,H,-7.916666667,-2.583333333,-2.413,-0.7874,No
224,H,-8.083333333,-2.625,-2.4638,-0.8001,No
225,F,-9.458333333,-3.916666667,-2.8829,-1.1938,No
226,H,-9.416666667,-3.833333333,-2.8702,-1.1684,No
227,H,-9.166666667,-3.25,-2.794,-0.9906,No
228,F,-10.75,-4.541666667,-3.2766,-1.3843,No
229,H,-12.04166667,-4.5625,-3.6703,-1.39065,No
230,F,-11.375,-2.083333333,-3.4671,-0.635,No
231,F,-11.33333333,-2.020833333,-3.4544,-0.61595,No
232,F,-11.20833333,-1.791666667,-3.4163,-0.5461,No
233,H,-11.66666667,-2.041666667,-3.556,-0.6223,No
234,H,-11.625,-1.875,-3.5433,-0.5715,No
235,H,-11.58333333,-1.916666667,-3.5306,-0.5842,No
236,F,-11,-1.833333333,-3.3528,-0.5588,No
237,H,-11.33333333,-1.375,-3.4544,-0.4191,No
238,F,-11.375,-2.020833333,-3.4671,-0.61595,No
239,H,-11.25,-1.291666667,-3.429,-0.3937,No
240,H,-11.5,-1.354166667,-3.5052,-0.41275,No
241,H,-11.375,-1.3125,-3.4671,-0.40005,No
